ID SUBGRUPO DE ITENS	ID ITEM	DESCRIÇÃO ITEM	UDM Preço	UDM estoque
3	conc_6530	ARROZ PARBOILIZADO DELIZA 1KG	0	uni
3	conc_2309	FEIJAO RAJADO CINCO ESTRELAS 1KG	0	uni
3	conc_1940	ARROZ PARBOILIZADO PICININ 5KG	0	uni
3	conc_9124	FEIJAO CARIOCA SABOR MAXIMO 1KG	0	uni
3	conc_0342	ARROZ JAPONES MOMIJU 5KG	0	uni
3	conc_7129	ARROZ BRANCO DELIZA T1 2KG	0	uni
PA ARROZ	140	ARROZ BRANCO REDE KRILL T1 (FD 6/5KG)	PACOTE 5 KG	FD 6/5 KG
PA ARROZ	141	ARROZ BRANCO REDE KRILL T1 (FD 30/1KG)	PACOTE 1 KG	FD 30/1 KG
3	conc_1064	ARROZ ARBORIO PEGANINI 1KG	0	uni
3	conc_4038	ARROZ BRANCO RAROZ PREMIUM T1 1KG	0	uni
3	conc_5034	ARROZ BRANCO RAROZ PREMIUM T1 5KG	0	uni
3	conc_8203	FEIJAO FRADINHO COMBRASIL 500G	0	uni
	conc_498	FEIJAO PRETO CALDO CARIOCA 1KG	0	UNI
	13	ARROZ BRANCO FANTASTICO PREMIUM T1 (FD 6/5KG)	0	FD 6/5 KG
3	conc_4712	ARROZ BRANCO CATARINAO T1 5KG	0	uni
3	conc_9872	ARROZ BRANCO FAMIL T1 5KG	0	uni
1	40	FEIJAO CARIOCA FANTASTICO T1 (FD 30/1KG)	0	FD 30/1 KG
3	conc_1877	FEIJAO PRETO PICININ 1KG	0	uni
3	conc_7334	FEIJAO CARIOCA PICININ PREMIUM 1KG	0	uni
3	conc_0042	ARROZ BRANCO CATARINAO T1 1KG	0	uni
3	conc_3398	ARROZ BRANCO PICININ T1 1KG	0	uni
3	conc_6642	ARROZ INTEGRAL CATARINAO 5KG	0	uni
3	conc_3664	MACARRAO SELECT PENE 500G	500g	500g
3	conc_5593	ARROZ BRANCO PICININ PREMIUM T1 1KG	0	uni
3	conc_9928	ARROZ BRANCO PICININ PREMIUM T1 5KG	0	uni
3	conc_8094	ARROZ BRANCO PICININ T1 5KG	0	uni
arrozConcorrente	conc_494	ARROZ BRANCO CAMIL RESERVA 1KG	0	UNI
	17	ARROZ BRANCO PEG JA FT (FD 10/1KG)	0	10/1KG
	10	ARROZ BRANCO PEG JA FT (FD 6/5KG)	Pacote 5 KG	FD 6/5 KG
3	conc_12987	ARROZ PARBOILIZADO DELIZA 5KG	0	uni
3	conc_91094	ARROZ BRANCO DELIZA 5KG	0	uni
3	conc_32545	MACARRAO SELECT PARAFUSO 500G	500g	500g
3	conc_4875	MACARRAO SELECT ESPAGUETE 500G	500g	500g
3	conc_2546541	FEIJAO CARIOCA OFICIAL 1KG	1kg	1kg
3	conc_215465	ARROZ INTEGRAL CAMIL 2KG	1kg	1kg
3	conc_54112	ARROZ INTEGRAL DELIZA 1KG	1kg	1kg
3	conc_6454	ARROZ BRANCO DELIZA 1KG	1kg	1kg
2	0042.2	FEIJAO CARIOCA SABOROSO T1 (FD 30/1KG)	0	FD 30/1 KG
2	0042.3	FEIJAO CARIOCA SABOROSO T1 (FD 30/1KG)	0	FD 30/1 KG
1	0046.1	FEIJAO CARIOCA FANTASTICO T1 (FD 10/1KG)	0	FD 10/1 KG
	76	ARROZ PARBOILIZADO FANTASTICO T1 (FD 10/1KG)	PACOTE 1 KG	FD 10/1 KG
3	conc_29718	ARROZ JAPONES MOJIMI 5KG	0	uni
3	conc_61947	ARROZ JAPONES PRATO FINO 5KG	0	uni
3	conc_02913	ARROZ JAPONES MINAMI MAI 5KG	0	uni
	conc_444	FEIJAO PRETO TUCUMA  1KG	0	UNI
PA ARROZ	conc_445	ARROZ ALBARUSKA 1KG	0	UNI
PA ARROZ	conc_446	ARROZ ALBARUSKA 2KG	0	UNI
arrozConcorrente	conc_447	ARROZ INTEGRAL ALBARUSKA 1KG	0	UNI
arrozConcorrente	conc_448	ARROZ PARBOILIZADO CAMIL 1KG	0	UNI
feijaoConcorrente	conc_443	FEIJAO CARIOCA NAGUMO1KG	0	UNI
	conc_451	MACARRÃO BARILLA PARUFUSO 500G	0	UNI
	conc_449	MACARRÃO BARILLA ESPAGUETE 500G	0	UNI
	conc_450	MACARRÃO BARILLA PENE 500G	0	UNI
	conc_404	ARROZ PEG JA 5KG	0	UNI
arrozConcorrente	conc_412	ARROZ INTEGRAL  URBANO 1KG	0	UNI
arrozConcorrente	conc_406	ARROZ CIAGRO 5KG	0	UNI
arrozConcorrente	conc_407	ARROZ TARUMA 5KG	0	UNI
arrozConcorrente	conc_408	ARROZ CAMIL 5KG	0	UNI
	conc_413	ARROZ INT CAMIL 1KG	0	UNI
arrozConcorrente	conc_409	ARROZ CAMIL 5KG	0	UNI
arrozConcorrente	conc_410	ARROZ PRATO FINO 5KG	0	UNI
arrozConcorrente	conc_411	ARROZ TIO JOÃO 5KG	0	UNI
arrozConcorrente	conc_414	ARROZ CAMIL PARB 5KG	0	UNI
arrozConcorrente	conc_415	ARROZ CAMIL 1KG	0	UNI
arrozConcorrente	conc_416	ARROZ RESERVA IKG	0	UNI
arrozConcorrente	conc_418	ARROZ TARUMA 1KG	0	UNI
arrozConcorrente	conc_419	ARROZ MERCADO VELHO 2KG	0	UNI
arrozConcorrente	conc_420	ARROZ CAMIL 2KG	0	UNI
PA ARROZ	conc_421	ARROZ JAPONES KIZOKU MAI 1KG	0	UNI
3	conc_422	ARROZ JAPONES MOMIJI 1KG	0	UNI
arrozConcorrente	conc_464	ARROZ PARBOILIZADO CARRETEIRO 1KG	0	UNI
arrozConcorrente	conc_465	ARROZ PARBOILIZADO MAXIMO 1KG	0	UNI
arrozConcorrente	conc_466	ARROZ PARBOILIZADO CATARINÃO 1KG	0	UNI
feijaoConcorrente	conc_467	FEIJAO CARIOCA CALDO CARIOCA 1KG	0	UNI
feijaoConcorrente	conc_468	FEIJAO CARIOCA COMBRASIL 1KG	0	UNI
arrozConcorrente	conc_459	ARROZ BRANCO MAXIMO 5KG	0	UNI
arrozConcorrente	conc_469	FEIJAO CARIOCA VILA NOVA 1KG	0	UNI
arrozConcorrente	conc_460	ARROZ BRANCO CATARINÃO 5KG	0	UNI
arrozConcorrente	conc_461	ARROZ BRANCO CARIJO 5KG	0	UNI
arrozConcorrente	conc_462	ARROZ PARBOILIZADO CARRETEIRO 5KG	0	UNI
arrozConcorrente	conc_463	ARROZ BRANCO DONA MILU 1KG	0	UNI
feijaoConcorrente	conc_470	FEIJAO CARIOCA NOLAR 1KG	0	UNI
PA FEIJÃO	conc_061	FEIJAO CARIOCA NENE T1 1KG 100000000000000	un	uni
3	conc_020	ARROZ BRANCO CAMIL RESERVA T1 1KG 100000000000000	0	uni
3	conc_016	ARROZ BRANCO CAMIL T1 1KG 100000000000000	0	uni
PA ARROZ	conc_012	ARROZ BRANCO PRATO FINO T1 1KG	0	uni
PA ARROZ	conc_028	ARROZ BRANCO SOLITO PREMIUM T1 1KG 100000000000000	0	uni
PA ARROZ	conc_024	ARROZ BRANCO SOLITO T1 1KG 100000000000000	0	uni
PA ARROZ	conc_004	ARROZ BRANCO TIO JOAO T1 1KG 100000000000000	0	uni
arrozConcorrente	conc_008	ARROZ BRANCO ALBARUSKA T1 1KG	0	uni
arrozConcorrente	conc_006	ARROZ BRANCO ALBARUSKA T1 2KG	0	uni
3	conc_007	ARROZ BRANCO ALBARUSKA T1 1KG 100000000	0	uni
arrozConcorrente	conc_009	ARROZ BRANCO PRATO FINO T1 5KG	0	uni
arrozConcorrente	conc_010	ARROZ BRANCO PRATO FINO T1 2KG	0	uni
arrozConcorrente	conc_011	ARROZ BRANCO PRATO FINO T1 1KG	0	uni
arrozConcorrente	conc_003	ARROZ BRANCO TIO JOAO T1 1KG	0	uni
arrozConcorrente	conc_002	ARROZ BRANCO TIO JOAO T1 2KG	0	uni
