ID LOCAL ;DESCRIÇÃO LOCAL;RAZÃO SOCIAL LOCAL;ATIVO LOCAL;CÓDIGO DO LOCAL NO UMOV.ME;PAÍS;ESTADO;CIDADE;BAIRRO;TIPO LOGRADOURO;LOGRADOURO;NÚMERO LOGRADOURO;COMPLEMENTO LOGRADOURO;CEP;DDI TELEFONE CELULAR;DDD TELEFONE CELULAR;NÚMERO TELEFONE CELULAR;DDI TELEFONE FIXO;DDD TELEFONE FIXO;NUMERO TELEFONE FIXO;E-MAIL;OBSERVAÇÃO;CNPJ;Inscrição estadual;Vendedor;AVISO;Loja Numero;Regiao;Segunda-Feira;Terça-Feira;Quarta-Feira;Quinta-Feira;Sexta-Feira;Sábado;TT;Rota;Montado;Lider;Telefone Lider;Promotor;Telefone Promotor;Mix
C006114;SONI SUPERMERCADOS LTDA (C006114);REDE SONI;1;240769469;Brasil;SP;Mogi das Cruzes;JUNDIAPEBA;AV;PRESIDENTE ALTINO ARANTES;1434;1434;08.750-500;55;;;55;;;sonixml@outlook.com;;;;;;;;;;;;;;;;;;;;;Soni Jundiapeba - C006114
C003453;SENDAS DISTRIBUIDORA S/A (C003453);ASSAI  SP;1;76243894;Brasil;SP;Jundiaí;;AVENIDA;UNIAO DOS FERROVIARIOS;;2940;13201-160;55;;;55;11;34115000;clayton.pereira@rustonalimentos.com.br;;06.057.223/0421-76;;V.spi - Clayton Pereira;;;CAMPINAS;;;;;;;;;;Equipe Campinas;;;;ASSAI Jundiai - C003453
C001173;SENDAS DISTRIBUIDORA S/A (C001173);ASSAI  SP;1;72619794;Brasil;SP;Campinas;JARDIM NOVO CAMPOS ELISEOS;AVENIDA;RUY RODRIGUEZ;;1700;13060-192;55;;;55;19;32235747;nfe@assai.com.br;;06.057.223/0316-46;;V.spi - Clayton Pereira;;;CAMPINAS;;;;;;;;;;Equipe Campinas;;;;ASSAI Amoreiras - C001173
C001779;TENDA ATACADO SA (C001779);TENDA;1;269926463;Brasil;SP;SUZANO;VILA COSTA;RUA;BARUEL;;315;08675-000;55;;;55;;;luiz.paulo@fantasticoalimentos.com.br;;;;;;;;;;;;;;;;;;;;;Tenda Suzano - C001779
C003657;SENDAS DISTRIBUIDORA S/A (C003657);ASSAI  SP;1;82055236;Brasil;SP;Hortolândia;LOTEAMENTO REMANSO CAMPINEIRO;RUA;LUIZ CAMILO DE CAMARGO;;S/N;13184-420;55;;;55;11;34115000;nfe@assai.com.br;;06.057.223/0413-66;;V.spi - Clayton Pereira;;;CAMPINAS;;;;;;;;;;Equipe Campinas;;;;ASSAI Hortolandia - C003657
C004126;SENDAS DISTRIBUIDORA S/A (C004126);ASSAI  SP;1;98665879;Brasil;SP;Santa Bárbara do Oeste;;RUA;DA AGRICULTURA;;1258;13454-000;55;;;55;11;34115000;clayton.pereira@rustonalimentos.com.br;;06.057.223/0462-44;;V.spi - Clayton Pereira;;;SAO PAULO;;;;;;;;;;Equipe RJ;;;;ASSAI Santa Barbara - C004126
C005271;TENDA ATACADO SA (C005271);TENDA;1;76243925;Brasil;SP;Campinas;;RUA;PADRE BERNARDO DA SILVA;;1249;13030-710;55;;;55;19;37724999;clayton.pereira@rustonalimentos.com.br;;01.157.555/0009-61;;V.spi - Clayton Pereira;;;CAMPINAS;;;;;;;;;;Equipe Campinas;;;;Tenda - Campinas C005271
C007352;IRMAOS MUFFATO S.A (C007352);MUFFATO;1;231872824;Brasil;SP;CAMPINAS;;RUA;RICARDO BASSOLI CEZARE;1567;1567;13.050-080;55;;;55;;;lucilio.neves@rustonalimentos.com;;;;;;;;;;;;;;;;;;;;;Muffato Campinas - C007352
C014568;CENTRO DE DISTRIBUICAO REDE KRILL LTDA (C014568);REDE KRILL;1;76244070;Brasil;SP;Praia Grande;;;AYRTON SENNA DA SILVA;;333;11726-500;55;;;55;13;32025300;eduardo.ruiz@rustonalimentos.com.br;;21.010.503/0001-18;;V.at - Eduardo Ruiz;;;LITORAL SUL;;;;;;;;;;Equipe Grande SP;;;;Krill
C004771;TENDA ATACADO SA (C004771);TENDA;1;215698638;Brasil;SP;Praia Grande;;AVENIDA;PRESIDENTE KENEDY;3131;3113;11703-200;55;;;55;;;lucilio.neves@rustonalimentos.com;;;;;;;;;;;;;;;;;;;;;Tenda
C005132;SK SUPERMERCADOS LTDA (C005132);SHIBATA;1;206883392;Brasil;SP;UBATUBA;;RODOVIA;OSWALDO CRUZ;850;754;11691-032;55;;;55;;;lucilio.neves@rustonalimentos.com;;17.349.548/0006-59;;;;;;;;;;;;;;;;;;;Shibata
C012774;TENDA ATACADO SA (C012774);TENDA;1;215698702;Brasil;SP;ITANHAEM;;;JOSE ERNESTO BECHELLI;1351;1351;11740-000;55;;;55;;;lucilio.neves@rustonalimentos.com;;;;;;;;;;;;;;;;;;;;;Tenda
C001973;LOBO CEREALISTA LTDA EPP (C001973);VAREJO PEQUENO;1;269926354;Brasil;RJ;SAO GONCALO;COLUBANDE;RODOVIA;AMARAL PEIXOTO KM 95;;S/N;24753-560;55;;;55;;;adones_junior@msn.com;;;;;;;;;;;;;;;;;;;;;
C002995;M R ROCCO SUPERMERCADOS (C002995);PADRAO;1;269926355;Brasil;SP;PORTO FELIZ;CENTRO;RUA;DR ALVIM;;359;18540-000;55;;;55;;;suprocco03@yahoo.com.br helenarocco@terra.com.br;;;;;;;;;;;;;;;;;;;;;
C007249;IRMAOS MUFFATO S.A (C007249);MUFFATO;1;213039638;Brasil;SP;MOGI DAS CRUZES;;;CARLOS BARATINO;494;494;8773600;55;45;991375920;55;;;CLEDERSON@GRUPOMUFFATO.COM.BR;;76.430.438/0139-07;;;;;;;;;;;;;;;;;;;Muffato Mogi das Cruzes - C007249
C005091;SENDAS DISTRIBUIDORA S/A (C005091);ASSAI  SP;1;206826953;Brasil;SP;SÃO BERNARDO DO CAMPOS;;RUA;GARCIA LORCA;301;301;09695-000;55;;;55;;;lucilio.neves@rustonalimentos.com;;06.057.223/0504-38;;;;;;;;;;;;;;;;;;;Assaí SP1
C001282;COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA (C001282);ZARAGOZA;1;269926135;Brasil;SP;Bauru;PARQUE SAO GERALDO;AVENIDA;MOUSSA NAKHL TOBIAS;;3;17021-005;55;;;55;;;nfse@spani.com.br;;;;;;;;;;;;;;;;;;;;;
C003155;CHOPPERIA DO PORTUGA LTDA ME (C003155);VAREJO PEQUENO;1;269926204;Brasil;SP;JACAREI;CENTRO;AV;JORGE MADID;;82;12308-270;55;;;55;;;elen.hasman@rustonalimentos.com.br;;;;;;;;;;;;;;;;;;;;;
C003223;FERNANDES DA COSTA UBATUBA LTDA (C003223);PADRAO;1;269926205;Brasil;SP;UBATUBA;MARANDUBA;RUA;23;;24;11680-000;55;;;55;;;SUPERUBAOBABRASIL@SUPERIG.COM.BR;;;;;;;;;;;;;;;;;;;;;
C003469;FUNDO SOCIAL DE SOLIDARIEDADE DE PINDAMONHANGABA (C003469);PADRAO;1;269926206;Brasil;SP;PINDAMONHANGABA;CENTRO;RUA;DEPUTADO CLARO CESAR;;53;12400-220;55;;;55;;;contabilidadecentral@pindamonhangaba.sp.gov.br;;;;;;;;;;;;;;;;;;;;;
